jugador,elo_actual_total,elo_maximo_total,elo_actual_tierra,elo_actual_hierba,elo_actual_dura,elo_maximo_tierra,elo_maximo_hierba,elo_maximo_dura,activo,elo
florent serra,1519.33,1754.62,1562.93,1428.76,1488.62,1647.49,1549.1,1664.81,0,1519.33
bader mohammed almuqail,1434.76,1516.0,1472.03,1500.0,1455.78,1500.0,1500.0,1516.0,0,1434.76
laurynas grigelis,1429.85,1500.0,1513.47,1485.03,1415.62,1530.43,1500.0,1500.0,0,1429.85
adel al shatti,1419.37,1500.0,1500.0,1500.0,1422.74,1500.0,1500.0,1500.0,0,1419.37
timothy neilly,1448.39,1500.0,1474.05,1500.0,1471.76,1500.0,1500.0,1500.0,0,1448.39
nicolas mahut,1671.36,1802.5,1521.55,1651.85,1601.61,1531.33,1765.27,1679.0,0,1671.36
charles white,1513.04,1531.19,1500.0,1500.0,1515.07,1500.0,1500.0,1531.95,0,1513.04
brian gyetko,1467.55,1500.0,1500.0,1500.0,1467.34,1500.0,1500.0,1500.0,0,1467.55
robert bedard,1493.24,1500.0,1488.75,1500.0,1500.0,1500.0,1500.0,1500.0,0,1493.24
fernando roese,1486.64,1545.46,1416.74,1446.28,1502.64,1500.0,1514.24,1543.1,0,1486.64
jeff etterbeek,1491.12,1500.0,1491.99,1500.0,1500.0,1500.0,1500.0,1500.0,0,1491.12
craig smith,1474.51,1500.0,1469.35,1500.0,1500.0,1500.0,1500.0,1500.0,0,1474.51
ivo heuberger,1452.91,1558.39,1411.6,1477.96,1443.11,1500.0,1545.69,1530.61,0,1452.91
zack fleishman,1493.46,1511.82,1500.0,1488.53,1469.35,1500.0,1516.0,1505.98,0,1493.46
richard schmidt,1427.72,1500.0,1500.0,1478.6,1428.87,1500.0,1500.0,1500.0,0,1427.72
mahtabur rahman,1472.12,1500.0,1500.0,1500.0,1471.48,1500.0,1500.0,1500.0,0,1472.12
mario monroy,1499.8,1500.0,1503.52,1500.0,1495.05,1503.52,1500.0,1500.0,0,1499.8
oscar otte,1509.97,1732.89,1514.91,1537.88,1469.84,1555.54,1618.08,1570.72,1,1509.97
lazar magdincev,1471.08,1549.05,1487.67,1500.0,1481.86,1527.7,1500.0,1533.17,0,1471.08
federico agustin gomez,1496.16,1503.02,1488.36,1500.0,1497.8,1500.0,1500.0,1516.56,1,1496.16
marc rosset,1562.29,1866.86,1542.74,1506.66,1582.63,1817.77,1637.13,1810.28,0,1562.29
roberto alvarez,1495.27,1500.0,1493.86,1500.0,1500.0,1500.0,1500.0,1500.0,0,1495.27
bernard paul,1474.31,1527.83,1456.79,1481.51,1484.64,1516.0,1510.02,1501.78,0,1474.31
jan siemerink,1543.41,1860.93,1498.78,1526.4,1609.22,1639.42,1646.49,1798.07,0,1543.41
giuseppe merlo,1468.09,1500.74,1454.39,1484.0,1500.0,1500.74,1500.0,1500.0,0,1468.09
